"Load Group","SCH PKP Date","PKP City","DLV City","Dole Order #","Carrier Name","SCH DLV Date","SCH DLV Time","Last Carrier ETA Date and Time","Carrier Late Reason","Rem Miles","CarrierInstructions","Late Source","TMS Load #","Last Loc of Truck Date /Time ","Carrier DLV Arrv Date","TMS Load Status","Load On -Time "
"WEST REGIONAL IB","09/19/22","MARINA","YUMA","9TTGZ","DESERT EXPRESS TRANSPORTATION","09/20/22","14:00","09/20/22 15:30","","0","RT 97XUV","","13576842","09/20/22 16:38","09/20/22 15:37","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TRZU","AMAN TRUCK LINES","09/22/22","18:00","09/22/22 02:00","","0","","","13573786","09/22/22 00:14","09/21/22 23:20","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSON","PRIME INC","09/22/22","05:00","09/22/22 05:00","Insufficient Delivery Time","0","","EDI","13574787","","09/22/22 06:37","Delivered","N"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUO","LASHER","09/22/22","10:00","09/22/22 08:00","","0","","","13576160","09/22/22 10:00","09/22/22 06:00","Left Dest","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUX","CENTRAL TRUCKING INC CTI","09/22/22","14:00","09/22/22 14:00","","0","","","13576163","09/22/22 12:45","09/22/22 10:42","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUU","PRIME INC","09/22/22","12:00","09/22/22 12:00","","0","","","13576162","","09/22/22 10:42","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUL","US TRANSPORT INC","09/22/22","06:00","09/22/22 06:00","","0","","","13576159","09/22/22 07:35","09/22/22 01:00","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSTW","DAUM COMPANIES","09/22/22","08:00","09/22/22 08:00","","0","","","13576149","09/22/22 07:00","09/22/22 05:00","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOP","ENGLANDER TRANSPORTATION","09/22/22","06:00","09/21/22 20:00","","0","","","13574788","09/21/22 21:31","09/21/22 21:06","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOT","KENNESAW TRANSPORTATION INC","09/22/22","10:00","09/22/22 06:00","","0","","","13574790","","09/22/22 06:36","Submit For Approval","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSTZ","DAUM COMPANIES","09/22/22","08:00","09/22/22 08:00","","0","","","13576150","09/22/22 07:00","09/22/22 06:00","Delivered","Y"
"WEST REGIONAL IB","09/19/22","OXNARD","SOLEDAD","9TTIG","BHANDAL BROS","09/20/22","06:00","","","0","","","13577489","09/20/22 08:35","09/20/22 06:25","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOR","AMAN TRUCK LINES","09/22/22","08:00","09/22/22 11:00","Driver Error","0","","Carrier","13574789","09/22/22 10:45","09/22/22 09:45","Delivered","N"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUR","AMAN TRUCK LINES","09/22/22","10:00","09/22/22 10:00","","0","","","13576161","09/21/22 21:00","09/21/22 20:00","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TTIA","CENTRAL TRUCKING INC CTI","09/22/22","12:00","09/22/22 12:00","","0","","","13577049","09/22/22 06:35","09/22/22 04:54","Delivered","Y"
"WEST REGIONAL IB","09/19/22","OXNARD","SOLEDAD","9TTGC","Coreas Trucking","09/20/22","07:00","","","0","","","13576828","09/20/22 06:00","09/20/22 01:45","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUI","FOLSOM TRUCKING INC","09/22/22","06:00","09/22/22 06:00","","0","","","13576153","09/22/22 11:40","09/22/22 06:00","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOV","AMAN TRUCK LINES","09/22/22","12:00","09/21/22 11:30","","0","","","13574791","09/21/22 12:00","09/21/22 11:15","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUF","MAJOR EXPRESS","09/22/22","01:00","09/22/22 01:00","","0","","","13576152","09/22/22 01:00","09/22/22 00:01","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOX","KLLM WEST","09/22/22","14:00","09/22/22 19:44","","233","","","13574792","09/22/22 16:40","","Transit","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSUC","DAUM COMPANIES","09/22/22","01:00","09/22/22 01:00","","0","","","13576151","09/22/22 00:10","09/21/22 22:00","Delivered","Y"
"WEST REGIONAL IB","09/19/22","MARINA","KING CITY","9TTIW","CHICHAN TRANSPORT","09/19/22","09:00","","","0","","","13577808","09/19/22 17:31","09/19/22 14:52","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TRZM","PRIME INC","09/21/22","08:00","09/21/22 20:00","Other Carrier Related","0","","EDI","13573782","","09/21/22 17:37","Delivered","N"
"EAST REGIONAL IB","09/19/22","DEERFIELD","SPRINGFIELD","9TTDB","BEEMAC TRUCKING","09/19/22","17:00","","","0","","","13576349","09/19/22 13:19","09/19/22 13:19","At Dest","Y"
"EAST REGIONAL IB","09/19/22","QUEENSVILLE","SPRINGFIELD","9TSAG","Newmarket Equipment","09/20/22","12:00","09/20/22 12:00","","0","","","13573908","09/20/22 17:16","09/20/22 14:30","Delivered","Y"
"WEST REGIONAL IB","09/19/22","SALINAS","SOLEDAD","9TTFX","ROBLES TRUCKING","09/19/22","18:00","","","0","not a good load tosca","","13576825","","","N/A","Y"
"WEST TO EAST IB","09/19/22","MARINA","VINELAND","9TTRQ","","09/20/22","14:01","","","0","","","13578177","","","N/A","Y"
"EAST REGIONAL IB","09/19/22","ELMORE","BESSEMER CITY","9TTEU","PRIME INC","09/20/22","17:00","09/20/22 17:00","","0","","","13576766","","09/19/22 23:20","Delivered","Y"
"EAST REGIONAL IB","09/19/22","DEERFIELD","BESSEMER CITY","9TTET","DANCER LOGISTICS","09/20/22","14:00","09/20/22 14:00","","0","","","13576763","09/20/22 11:41","09/20/22 11:38","Delivered","Y"
"EAST REGIONAL IB","09/19/22","QUEENSVILLE","BESSEMER CITY","9TTEE","Newmarket Equipment","09/21/22","11:00","09/21/22 19:00","Operations/Mechanical","0","","Carrier","13576683","09/22/22 18:05","09/21/22 17:30","Delivered","N"
"EAST REGIONAL IB","09/19/22","DEERFIELD","SPRINGFIELD","9TTCY","DANCER LOGISTICS","09/19/22","16:00","09/19/22 18:30","Traffic/Road Conditions","0","","EDI","13576348","09/19/22 19:09","09/19/22 19:07","Delivered","N"
"EAST REGIONAL IB","09/19/22","ELMORE","SPRINGFIELD","9TTCF","DANCER LOGISTICS","09/19/22","18:00","09/19/22 17:30","","0","","","13576338","09/19/22 17:48","09/19/22 17:47","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","BESSEMER CITY","9TRZK","JEAR LOGISTICS - VEG","09/21/22","19:00","09/21/22 18:00","","0","","","13573781","09/22/22 10:41","09/21/22 16:00","N/A","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSIZ","FOLSOM TRUCKING INC","09/21/22","01:00","09/21/22 11:00","Mechanical","0","","Carrier","13574160","09/21/22 12:40","09/21/22 10:02","Delivered","N"
"WEST TO EAST IB","09/18/22","MARINA","BESSEMER CITY","97YGT","PRIME INC","09/21/22","18:00","09/21/22 18:00","","0","","","13573892","","09/21/22 02:32","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","BESSEMER CITY","97ZBQ","JEAR LOGISTICS - VEG","09/21/22","18:00","09/21/22 16:00","","0","","","13577157","09/21/22 13:59","09/21/22 13:04","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","BESSEMER CITY","9TRZO","PRIME INC","09/21/22","10:00","09/21/22 10:00","Shipper Related","0","","EDI","13573783","","09/21/22 05:37","Delivered","N"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSJR","CENTRAL TRUCKING INC CTI","09/21/22","12:00","09/21/22 12:00","","0","","","13574166","09/21/22 14:50","09/21/22 12:00","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","97YHB","CENTRAL TRUCKING INC CTI","09/21/22","12:00","09/21/22 12:00","","0","","","13574166","09/21/22 14:50","09/21/22 12:00","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSJI","CENTRAL TRUCKING INC CTI","09/21/22","10:00","09/21/22 10:00","","0","","","13574163","09/21/22 09:26","09/21/22 08:52","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSJL","PRIME INC","09/21/22","10:00","09/21/22 10:00","","0","","","13574164","","09/21/22 08:40","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSIT","DAUM COMPANIES","09/21/22","08:00","09/21/22 01:00","","0","","","13574158","09/20/22 20:00","09/20/22 19:00","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","BESSEMER CITY","9TRZQ","KENNESAW TRANSPORTATION INC","09/21/22","12:00","09/21/22 02:00","","0","","","13573784","09/21/22 00:30","09/21/22 01:07","Submit For Approval","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSJC","US TRANSPORT INC","09/21/22","06:00","09/21/22 01:00","","0","","","13574161","09/21/22 08:15","09/21/22 01:00","1st Invoice Processed","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSIW","MAJOR EXPRESS","09/21/22","01:00","09/21/22 01:00","","0","","","13574159","09/21/22 06:30","09/21/22 01:00","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSIQ","NOOR TRANSPORTATION COMPANY","09/21/22","08:00","09/21/22 08:00","","0","","","13574157","09/21/22 07:52","09/21/22 05:47","Left Dest","Y"
"WEST REGIONAL IB","09/18/22","OXNARD","SOLEDAD","9TTGB","JET TRUCKING","09/19/22","05:00","","","0","","","13576827","09/19/22 07:00","09/19/22 05:00","Delivered","Y"
"WEST TO EAST IB","09/18/22","MARINA","SPRINGFIELD","9TSJF","MAJOR EXPRESS","09/21/22","06:00","09/21/22 01:00","","0","","","13574162","09/21/22 10:00","09/21/22 04:00","Delivered","Y"
"WEST REGIONAL IB","09/18/22","YERINGTON","KING CITY","9TTFG","SHR TRANSPORT","09/19/22","07:00","","","0","","","13576816","09/19/22 11:53","09/19/22 11:53","At Dest","Y"
"WEST REGIONAL IB","09/18/22","YERINGTON","KING CITY","9TTFI","SHR TRANSPORT","09/19/22","07:00","","","0","","","13576817","09/19/22 12:18","09/19/22 12:18","At Dest","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRZG","KLLM WEST","09/20/22","16:00","09/20/22 16:00","","0","","","13573771","","09/20/22 16:37","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","VINELAND","M6411","SHR TRANSPORT","09/21/22","09:00","09/21/22 08:30","","0","","","13574509","09/21/22 08:19","09/21/22 08:19","At Dest","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSIE","PRIME INC","09/20/22","12:00","09/20/22 12:00","Traffic/Road Conditions","0","","EDI","13574153","","09/20/22 12:59","Delivered","N"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TSOH","MAJOR EXPRESS","09/20/22","08:00","09/20/22 06:00","","0","","","13574657","09/20/22 15:00","09/20/22 08:00","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHV","Gary Transport Inc","09/20/22","20:00","09/20/22 16:00","","0","","","13574150","09/20/22 23:57","09/20/22 15:39","Delivered","Y"
